"PCBWay Bom Quotation, Product No.:T-I7W330878A",,,,,,,,,,,,,,
Item #,*Designator,*Qty,Manufacturer,*Mfg Part #,Description / Value,*Package/Footprint,Your Instructions / Notes,*Unit Price(5 sets),*Total,*Delivery Time,*Actual Purchase Mfg Part #,*PCBWay Note,Customer Reply,PCBWay Update
52,R300,1,Yageo,RC0603FR-0756KL,56K,OPL_Resistor:R0603,,$0.032,$0.160,,,,,
53,R302,1,Yageo,RC0805FR-073K3L,3K3,OPL_Resistor:R0805,,$0.055,$0.275,,,,,
54,R303,1,Yageo,RC0603FR-10100KL,100K,OPL_Resistor:R0603,,$0.088,$0.440,,,,,
55,R304,1,Yageo,RC0603FR-0745K3L,5K3,OPL_Resistor:R0603,,$0.033,$0.165,,,,,
56,R405,1,Yageo,RC0603FR-074K7L,4K7,OPL_Resistor:R0603,,$0.028,$0.140,,,,,
57,"R500,R501,R502",3,Yageo,RC0603JR-071ML,1M,OPL_Resistor:R0603,,$0.007,$0.105,,,,,
58,R503,1,Yageo,RC0603JR-070RL,0,OPL_Resistor:R0603,,$0.021,$0.105,,,,,
59,SP200,1,,*,${TOPCODE},,Bridge,,,,,[DNP];,,
60,SW100,1,CIT Relay and Switch,CS11025.0F160,Push_Button,OPL_Switch:SW4-SMD-6.0X6.0X5.0MM,,$0.348,$1.740,7-10 Workdays,,,,
61,"TP100,TP101,TP103",3,,RevPol,RevPol,Connector_Pin:Pin_D1.0mm_L10.0mm,Test point,,,,,[DNP];,,
62,"TP102,TP104,TP105,TP106,TP301,TP304",6,,RevPol,RevPol,Connector_Pin:Pin_D1.0mm_L10.0mm,Test point,,,,,[DNP];,,
63,TP300,1,,5V,5V,Connector_Pin:Pin_D1.0mm_L10.0mm,Test point,,,,,[DNP];,,
64,TP302,1,,3V3,3V3,Connector_Pin:Pin_D1.0mm_L10.0mm,Test point,,,,,[DNP];,,
65,TP501,1,,SDI_Tx,SDI_Tx,,Test point,,,,,[DNP];,,
66,TP502,1,,SDI_Rx,SDI_Rx,,Test point,,,,,[DNP];,,
67,U100,1,Silicon Labs,CP2104-F03-GM,CP2104,Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,,$4.584,$22.920,,,,,
68,U101,1,Espressif Systems,ESP32-WROVER-B (8MB),ESP32-WROVER-B,esp32-wrover:ESP32-WROVER,,$9.480,$47.400,,,Price may increase after you place the order due to the worldwide components shortage. Plz confirm asap.Or you can supply this part to us for assembly,,
69,U300,1,Texas Instruments,TPS562201DDCR,TPS562201DDCR,Package_TO_SOT_SMD:SOT-23-6,,$1.085,$5.425,,,,,
70,U301,1,Texas Instruments,LM2831XMF,LM2831XMF,SOT95P280X145-5N,,$3.240,$16.200,,LM2831XMF/NOPB,,,
71,U400,1,Texas Instruments,PCF8574ADGVR,PCF8574ADWR,,,$2.553,$12.765,7-10 Workdays,,,,
72,U401,1,Nexperia USA Inc.,"74HC590D,118","74HC590D,118",SOIC127P600X175-16N:SOIC127P600X175-16N,,$0.801,$4.005,7-10 Workdays,,,,
73,U402,1,Texas Instruments,LM393-N,LM393-N,,,$2.216,$11.080,7-10 Workdays,LM393N/NOPB,,,
74,U500,1,Texas Instruments,SN74LS00DR,SN74LS00DR,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,,$0.816,$4.080,,,,,
75,U501,1,Texas Instruments,SN74LVC2G241DCUR,SN74LVC2G241DCUR,Package_SO:VSSOP-8_2.3x2mm_P0.5mm,,$0.538,$2.690,,,,,
76,,5,Silicon Labs,SI7201-B-09-IB,"Sensor, Hall effect",,buy but not assembly ,$2.168,$54.200,7-10 Workdays,,,,
,,,,,,,,component price ,$452.115,,,,,
,,,,,,,,assembly price ,$88.000,,,,,
,,,,,,,,board price ,$54.480,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
